Transaction ID,Account ID,Posting Date,Amount,Amount Minor,Description,State,Categorization Source,Transfer Match ID,Source File,Source Row,Created UTC,Modified UTC
txn-0023,fin-marketplace,2025-03-31,-6410.20,-641020,Marketplace payout 2025-03,MATCHED_TRANSFER,TRANSFER,transfer-0003,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0024,fin-bank-operating,2025-03-31,6410.20,641020,Marketplace deposit 2025-03,MATCHED_TRANSFER,TRANSFER,transfer-0003,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0025,fin-marketplace,2025-04-30,11800.00,1180000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0026,fin-marketplace,2025-04-30,-767.00,-76700,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0027,fin-marketplace,2025-04-30,129.80,12980,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0028,fin-marketplace,2025-04-30,-1770.00,-177000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0029,fin-marketplace,2025-04-30,-2478.00,-247800,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0030,fin-marketplace,2025-04-30,-164.00,-16400,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0031,fin-marketplace,2025-04-30,-6750.80,-675080,Marketplace payout 2025-04,MATCHED_TRANSFER,TRANSFER,transfer-0004,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0032,fin-bank-operating,2025-04-30,6750.80,675080,Marketplace deposit 2025-04,MATCHED_TRANSFER,TRANSFER,transfer-0004,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0033,fin-marketplace,2025-05-31,14200.00,1420000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0034,fin-marketplace,2025-05-31,-710.00,-71000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0035,fin-marketplace,2025-05-31,156.20,15620,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0036,fin-marketplace,2025-05-31,-2130.00,-213000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0037,fin-marketplace,2025-05-31,-2982.00,-298200,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0038,fin-marketplace,2025-05-31,-175.00,-17500,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0039,fin-marketplace,2025-05-31,-8359.20,-835920,Marketplace payout 2025-05,MATCHED_TRANSFER,TRANSFER,transfer-0005,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0040,fin-bank-operating,2025-05-31,8359.20,835920,Marketplace deposit 2025-05,MATCHED_TRANSFER,TRANSFER,transfer-0005,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0041,fin-marketplace,2025-06-30,13800.00,1380000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0042,fin-marketplace,2025-06-30,-690.00,-69000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0043,fin-marketplace,2025-06-30,151.80,15180,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0044,fin-marketplace,2025-06-30,-2070.00,-207000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0045,fin-marketplace,2025-06-30,-3105.00,-310500,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0046,fin-marketplace,2025-06-30,-186.00,-18600,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0047,fin-marketplace,2025-06-30,-7900.80,-790080,Marketplace payout 2025-06,MATCHED_TRANSFER,TRANSFER,transfer-0006,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0048,fin-bank-operating,2025-06-30,7900.80,790080,Marketplace deposit 2025-06,MATCHED_TRANSFER,TRANSFER,transfer-0006,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0049,fin-marketplace,2025-07-31,19600.00,1960000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0050,fin-marketplace,2025-07-31,-980.00,-98000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0051,fin-marketplace,2025-07-31,215.60,21560,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0052,fin-marketplace,2025-07-31,-2940.00,-294000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0053,fin-marketplace,2025-07-31,-4116.00,-411600,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0054,fin-marketplace,2025-07-31,-197.00,-19700,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0055,fin-marketplace,2025-07-31,-11582.60,-1158260,Marketplace payout 2025-07,MATCHED_TRANSFER,TRANSFER,transfer-0007,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0056,fin-bank-operating,2025-07-31,11582.60,1158260,Marketplace deposit 2025-07,MATCHED_TRANSFER,TRANSFER,transfer-0007,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0057,fin-marketplace,2025-08-31,16400.00,1640000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0058,fin-marketplace,2025-08-31,-1066.00,-106600,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0059,fin-marketplace,2025-08-31,180.40,18040,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0060,fin-marketplace,2025-08-31,-2460.00,-246000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0061,fin-marketplace,2025-08-31,-3444.00,-344400,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0062,fin-marketplace,2025-08-31,-208.00,-20800,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0063,fin-marketplace,2025-08-31,-9402.40,-940240,Marketplace payout 2025-08,MATCHED_TRANSFER,TRANSFER,transfer-0008,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0064,fin-bank-operating,2025-08-31,9402.40,940240,Marketplace deposit 2025-08,MATCHED_TRANSFER,TRANSFER,transfer-0008,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0065,fin-marketplace,2025-09-30,10900.00,1090000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0066,fin-marketplace,2025-09-30,-545.00,-54500,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0067,fin-marketplace,2025-09-30,119.90,11990,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0068,fin-marketplace,2025-09-30,-1635.00,-163500,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0069,fin-marketplace,2025-09-30,-2452.50,-245250,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0070,fin-marketplace,2025-09-30,-219.00,-21900,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0071,fin-marketplace,2025-09-30,-6168.40,-616840,Marketplace payout 2025-09,MATCHED_TRANSFER,TRANSFER,transfer-0009,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0072,fin-bank-operating,2025-09-30,6168.40,616840,Marketplace deposit 2025-09,MATCHED_TRANSFER,TRANSFER,transfer-0009,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0073,fin-marketplace,2025-10-31,12100.00,1210000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0074,fin-marketplace,2025-10-31,-605.00,-60500,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0075,fin-marketplace,2025-10-31,133.10,13310,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0076,fin-marketplace,2025-10-31,-1815.00,-181500,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0077,fin-marketplace,2025-10-31,-2541.00,-254100,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0078,fin-marketplace,2025-10-31,-285.00,-28500,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0079,fin-marketplace,2025-10-31,-6987.10,-698710,Marketplace payout 2025-10,MATCHED_TRANSFER,TRANSFER,transfer-0010,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0080,fin-bank-operating,2025-10-31,6987.10,698710,Marketplace deposit 2025-10,MATCHED_TRANSFER,TRANSFER,transfer-0010,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0081,fin-marketplace,2025-11-30,8800.00,880000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0082,fin-marketplace,2025-11-30,-440.00,-44000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0083,fin-marketplace,2025-11-30,96.80,9680,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0084,fin-marketplace,2025-11-30,-1320.00,-132000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0085,fin-marketplace,2025-11-30,-1848.00,-184800,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0086,fin-marketplace,2025-11-30,-296.00,-29600,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0087,fin-marketplace,2025-11-30,-4992.80,-499280,Marketplace payout 2025-11,MATCHED_TRANSFER,TRANSFER,transfer-0011,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0088,fin-bank-operating,2025-11-30,4992.80,499280,Marketplace deposit 2025-11,MATCHED_TRANSFER,TRANSFER,transfer-0011,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0089,fin-marketplace,2025-12-31,7900.00,790000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0090,fin-marketplace,2025-12-31,-513.50,-51350,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0091,fin-marketplace,2025-12-31,86.90,8690,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0092,fin-marketplace,2025-12-31,-1185.00,-118500,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0093,fin-marketplace,2025-12-31,-1777.50,-177750,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0094,fin-marketplace,2025-12-31,-307.00,-30700,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0095,fin-marketplace,2025-12-31,-75.00,-7500,MiscPlatformFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0096,fin-marketplace,2025-12-31,-4128.90,-412890,Marketplace payout 2025-12,MATCHED_TRANSFER,TRANSFER,transfer-0012,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0097,fin-bank-operating,2025-12-31,4128.90,412890,Marketplace deposit 2025-12,MATCHED_TRANSFER,TRANSFER,transfer-0012,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0098,fin-marketplace,2026-01-31,13200.00,1320000,Product Charges,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0099,fin-marketplace,2026-01-31,-660.00,-66000,Refunds,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0100,fin-marketplace,2026-01-31,145.20,14520,ShippingCharge,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0101,fin-marketplace,2026-01-31,-1980.00,-198000,Commission,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0102,fin-marketplace,2026-01-31,-2772.00,-277200,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0103,fin-marketplace,2026-01-31,-131.00,-13100,FBAStorageFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0104,fin-marketplace,2026-01-31,-7802.20,-780220,Marketplace payout 2026-01,MATCHED_TRANSFER,TRANSFER,transfer-0013,imports/2026/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0105,fin-bank-operating,2026-01-31,7802.20,780220,Marketplace deposit 2026-01,MATCHED_TRANSFER,TRANSFER,transfer-0013,imports/2026/operating-checking.qbo,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0106,fin-marketplace,2026-02-28,11600.00,1160000,Product Charges,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0107,fin-marketplace,2026-02-28,-580.00,-58000,Refunds,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0108,fin-marketplace,2026-02-28,127.60,12760,ShippingCharge,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0109,fin-marketplace,2026-02-28,-1740.00,-174000,Commission,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0110,fin-marketplace,2026-02-28,-2436.00,-243600,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0111,fin-marketplace,2026-02-28,-142.00,-14200,FBAStorageFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0112,fin-marketplace,2026-02-28,-6829.60,-682960,Marketplace payout 2026-02,MATCHED_TRANSFER,TRANSFER,transfer-0014,imports/2026/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0113,fin-bank-operating,2026-02-28,6829.60,682960,Marketplace deposit 2026-02,MATCHED_TRANSFER,TRANSFER,transfer-0014,imports/2026/operating-checking.qbo,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0114,fin-marketplace,2026-03-31,7600.00,760000,Product Charges,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0115,fin-marketplace,2026-03-31,-380.00,-38000,Refunds,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0116,fin-marketplace,2026-03-31,83.60,8360,ShippingCharge,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0117,fin-marketplace,2026-03-31,-1140.00,-114000,Commission,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0118,fin-marketplace,2026-03-31,-1710.00,-171000,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0119,fin-marketplace,2026-03-31,-153.00,-15300,FBAStorageFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0120,fin-marketplace,2026-03-31,-4300.60,-430060,Marketplace payout 2026-03,MATCHED_TRANSFER,TRANSFER,transfer-0015,imports/2026/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0121,fin-bank-operating,2026-03-31,4300.60,430060,Marketplace deposit 2026-03,MATCHED_TRANSFER,TRANSFER,transfer-0015,imports/2026/operating-checking.qbo,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0122,fin-marketplace,2026-04-30,4100.00,410000,Product Charges,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0123,fin-marketplace,2026-04-30,-266.50,-26650,Refunds,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0124,fin-marketplace,2026-04-30,45.10,4510,ShippingCharge,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0125,fin-marketplace,2026-04-30,-615.00,-61500,Commission,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0126,fin-marketplace,2026-04-30,-861.00,-86100,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0127,fin-marketplace,2026-04-30,-164.00,-16400,FBAStorageFee,POSTED,MANUAL,,imports/2026/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0128,fin-marketplace,2026-04-30,-2238.60,-223860,Marketplace payout 2026-04,MATCHED_TRANSFER,TRANSFER,transfer-0016,imports/2026/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0129,fin-bank-operating,2026-04-30,2238.60,223860,Marketplace deposit 2026-04,MATCHED_TRANSFER,TRANSFER,transfer-0016,imports/2026/operating-checking.qbo,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
