Split ID,Transaction ID,Chart Account ID,Amount Minor,Amount,Memo
split-0114,txn-0150,ca-fulfillment-fees,-212100,-2121.00,
split-0115,txn-0151,ca-storage-fees,-19700,-197.00,
split-0116,txn-0154,ca-online-sales,360000,3600.00,
split-0117,txn-0155,ca-sales-returns,-23400,-234.00,
split-0118,txn-0156,ca-shipping-income,3960,39.60,
split-0119,txn-0157,ca-commission-fees,-54000,-540.00,
split-0120,txn-0158,ca-fulfillment-fees,-75600,-756.00,
split-0121,txn-0159,ca-storage-fees,-20800,-208.00,
split-0122,txn-0160,ca-platform-fees-parent,-7500,-75.00,
split-0123,txn-0163,ca-owner-contributions,400000,4000.00,
split-0124,txn-0164,ca-insurance,-60000,-600.00,
split-0125,txn-0167,ca-equipment-parent,-240000,-2400.00,
split-0126,txn-0168,ca-long-term-loan,800000,8000.00,
split-0127,txn-0169,ca-software,-24000,-240.00,
split-0128,txn-0170,ca-advertising,-70000,-700.00,
split-0129,txn-0175,ca-interest-income,4500,45.00,
split-0130,txn-0176,ca-owner-draws,-120000,-1200.00,
split-0131,txn-0177,ca-long-term-loan,-80000,-800.00,
split-0132,txn-0177,ca-interest-expense,-20000,-200.00,
split-0133,txn-0178,ca-prepaid-insurance,-120000,-1200.00,
split-0134,txn-0179,ca-product-costs,-780000,-7800.00,
split-0135,txn-0182,ca-product-costs,780000,7800.00,
split-0136,txn-0183,ca-owner-contributions,200000,2000.00,
split-0137,txn-0184,ca-short-term-loan,250000,2500.00,
split-0138,txn-0185,ca-software,-30000,-300.00,
split-0139,txn-0186,ca-advertising,-90000,-900.00,
split-0140,txn-0191,ca-equipment-computers,-180000,-1800.00,
split-0141,txn-0192,ca-long-term-loan,-60000,-600.00,
split-0142,txn-0192,ca-interest-expense,-10000,-100.00,
split-0143,txn-0193,ca-owner-draws,-80000,-800.00,
split-0144,txn-0194,ca-service-income,65000,650.00,
split-0145,txn-0195,ca-product-costs,-650000,-6500.00,
split-0146,txn-0198,ca-advertising,-120000,-1200.00,
